Ano,title,Rating,Duração,Taxa_Liked_Watched,Id,atributos
2018,‘Tito e os Pássaros’,3.4,73,0.19,200,"Tito and the Birds Gustavo Steinberg Tito is a shy 10-year-old boy who lives with his mother. Suddenly, an unusual epidemic starts to spread, making people sick whenever they get scared. Tito quickly discovers that the cure is somehow related to his missing father’s research on bird song. He embarks on a journey to save the world from the epidemic with his friends. Tito’s search for the antidote becomes a quest for his missing father and for his own identity. drama fantasy adventure"
2013,‘Entre Nós’,3.5,100,0.13,201,Between Us Paulo Morelli A group of literature-loving friends bury letters to be opened 10 years later when they will confront the dreams of their youth with what the future has held in store for them. drama -- --
2011,‘Capitães da Areia’,3.4,96,0.14,202,"Captains of the Sands Cecília Amado About the life and adventures of a gang of abandoned street kids known as “Capitães da Areia” (Captains of the Sands), in Salvador, Bahia, during the 1950s. adventure drama --"
2016,Cinema Novo,3.6,93,0.17,203,"Cinema Novo Eryk Rocha A deep investigation, in the way of a poetic essay, on one of the main Latin American movements in cinema, analyzed via the thoughts of its main authors, who invented, in the early 1960s, a new way of making movies in Brazil, with a political attitude, always near to people’s problems, that combined art and revolution. history documentary --"
2018,Yonlu,2.9,90,0.16,204,"Yonlu Hique Montanari A fiction film based on the real story of a 16 year-old boy who, aided by the internet, won over the world with his talent for music and art. Fluent in five languages, Yonlu had a network of virtual friends on all continents. However, no one suspected he was also taking part in a forum for potential suicide. romance drama --"
2001,‘O Invasor’,3.5,97,0.15,205,The Trespasser Beto Brant Two businessmen hire a hitman to kill their third partner and are then blackmailed by the hitman as he takes over their company. drama crime thriller
2003,O Signo do Caos,4.0,80,0.3,206,"O Signo do Caos Rogério Sganzerla A customs agent, Dr. Amnésio, examines some reels of film, a documentary Orson Welles made about Brazil, and tries to confiscate the material. Then, a party in which repression agents celebrate their victory against freedom and creativity. drama -- --"
1967,A Margem,4.0,96,0.26,207,"A Margem Ozualdo Ribeiro Candeias At the riverside of rio Tietê, in São Paulo, prostitutes, a pimp, a mentally disabled man, a handicap, people in the margin of the society live their ordinary hopeless lives without any expectation and waiting to die and join themselves in the boat of hell. romance drama --"
2015,‘Últimas Conversas’,3.9,88,0.23,208,"Last Conversations Eduardo Coutinho Made from interviews with young Brazilian students by filmmaker Eduardo Coutinho before his death (in February 2014), the film seeks to understand how teenagers think, live and dream nowadays. The footage was edited by Coutinho’s longtime partner, film editor Jordana Berg, and the final cut is signed by João Moreira Salles. documentary -- --"
2008,Linha de Passe,3.6,108,0.12,209,"Linha de Passe Walter Salles In the periphery of São Paulo, the pregnant single mother Cleuza works as maid in the apartment of a middle-class family. Each of her sons has a different unknown father: the oldest, Dênis, has a baby son that lives with his mother and he works as motorcycle courier. drama -- --"
2019,Indianara,3.9,84,0.24,210,"Indianara Aude Chevalier-Beaumel Bigger-than-life revolutionary, Indianara and her group lead a fight for the survival of transgender people in Brazil. She gathers her forces for one last battle against the attacks from her political party and the totalitarian threat to come. documentary -- --"
2019,‘A Noite Amarela’,3.0,100,0.16,211,"The Yellow Night Ramon Porto Mota A group of friends travels to a beach house on an island on the brazilian seaside to celebrate the end of high school, a place virtually no one else inhabits and which is almost always dark. However, their drollery and parties are cut short by the feeling that the place shelters an unfathomable horror. thriller horror --"
2014,‘Boa Sorte’,3.5,90,0.17,212,"Good Luck Carolina Jabor After several behavior problems, teenager John is admitted to a psychiatric clinic by his family. There he meets Judith, for who he soon falls in love. The problem is that she does not have long to live and they know it. This shall not prevent the emergence of a great romance in the clinic. drama -- --"
2013,Cine Holliúdy,3.4,91,0.12,213,"Cine Holliúdy Halder Gomes During the seventies, the massive arrival of television in the Brazilian countryside puts in jeopardy the business of running small movie theaters. Francisgleydisson is the owner of Cine Holliudy, and he must be extremely creative to keep his passion for cinema alive. comedy -- --"
2021,Madalena,3.1,85,0.15,214,Madalena Madiano Marcheti The body of a trans woman lies lifeless in a soy plantation and three lives react to her missing and presumed death. drama -- --
1999,‘Notícias de Uma Guerra Particular’,4.1,57,0.17,215,"News from a Personal War Kátia Lund Documentary about urban violence in Brazil, especially in Rio de Janeiro. Policemen, drug dealers, and shantytown dwellers get trapped into a daily war that knows no winners. crime documentary --"
2016,‘É Fada!’,1.5,86,0.03,216,It’s a Fairy! Cris D’amato Geraldine is a fairy who lost their wings by using unconventional methods in their missions. Her last chance to retrieve them will be the mission “Julia”. fantasy comedy --
2014,‘A História da Eternidade’,4.0,121,0.24,217,"The History of Eternity Camilo Cavalcante In a small village in the hinterland, three stories of love and desire are changing the emotional landscape of its residents. Characters of a romanesque world in which their conceptions of life are limited on one side by human instincts, on the other by a blind and fatalist fate. music romance drama"
2017,Meus 15 Anos,2.4,104,0.05,218,Meus 15 Anos Caroline Fioratti A shy student suddenly becomes the center of attention when she wins a huge birthday party that she never asked for. comedy drama --
2021,‘Os Salafrários’,2.6,94,0.09,219,"Get the Grift Pedro Antônio After a botched scam, Clóvis bumps into Lohane, his estranged foster sister. In a bind, they soon realize the only way out is to band together. comedy crime --"
1981,Brasil,4.1,13,0.32,220,"Brasil Rogério Sganzerla João Gilberto receives Caetano Veloso, Gilberto Gil and Maria Bethânia during the recording of his album Brasil. documentary music --"
2018,‘Exterminadores do Além Contra a Loira do Banheiro’,2.7,103,0.14,221,Ghost Killers vs. Bloody Mary Fabrício Bittar A group of three youtubers who call themselves experts in supernatural beings decide to win public recognition once and for all. For this they plot a plan to capture a being known to all. It is the spirit of a light-haired woman who died in an unknown way and who haunts the bathrooms of schools across the country: the blonde in the bathroom. horror comedy --
2011,‘Assalto ao Banco Central’,2.7,101,0.05,222,"Federal Bank Heist Marcos Paulo “The Baron” wanted to commit the perfect heist involving 3 tons of money and no violence. For this he would need the right people willing to get 1 million dollars to take part in this job. Based on true events, in 2005, 168,000,000 Brazilian Real (almost 80,000,000 US dollars) were stolen from a Brazilian Central Bank (Federal Reserve), making it the biggest peace-time robbery in history. It was perhaps the most audacious bank heist ever. crime thriller drama"
2015,Loucas pra Casar,2.6,106,0.06,223,"Loucas pra Casar Roberto Santucci Malu, Lúcia and Maria found the ideal man to marry. Until they discover that in reality this man is the same person: Samuel, who was dating all of them over the past years. The three will have to decide if they will fight amongst each other for exclusivity or will unite in revenge. comedy -- --"
2018,‘O Órfão’,3.6,15,0.22,224,"The Orphan Carolina Markowicz The story of Jonathas, an orphan who had been adopted and then “returned” due to his effeminate mannerisms. drama -- --"
1969,‘O Anjo Nasceu’,3.6,90,0.22,225,"The Angel Was Born Júlio Bressane Santamaria and Urtigo are two bandits on the run, one is white, the other black. Santamaria is a mystical visionary and believes in the imminent coming of a purifying angel. Urtiga, his inseparable companion, is a simple-minded and ingenious man who follows Santamaria around and participates in the crimes he commits. The two bandits take over a house after kidnapping its owner and his girlfriend. crime -- --"
1953,‘O Cangaceiro’,3.6,105,0.17,226,"The Bandit Lima Barreto In the time of the “cangaceiros” in the badlands of the Northeast of Brazil, the cruel Captain Galdino Ferreira and his band abduct the schoolteacher Olívia, expecting to receive a ransom for her. However, one of his men, Teodoro, falls in love and flees with her through the arid backcountry chased by the brigands. drama adventure western"
2006,‘Baixio das Bestas’,3.4,80,0.12,227,"Bog of Beasts Cláudio Assis A man falls in love with a teenage girl, who is exploited by her own grandfather, who sometimes takes her to a gas station to show her naked to whomever pays him some money. drama -- --"
2021,‘Carro Rei’,2.9,99,0.12,228,"King Car Renata Pinheiro Uno has a fantastic gift: he can talk and listen to cars since he was a child. After a new law prohibiting the use of aged cars puts his father’s taxi company in danger, he takes a decision to recover an old family car into a “new one”, and its name is King Car – a car that speaks, listen, and even fall in love. A car that has plans for everyone. science-fiction -- --"
2018,Sol Alegria,3.2,91,0.18,229,"Sol Alegria Tavinho Teixeira While the country is under the yoke of a military junta and corrupt priests preach the apocalypse, a lawless, eccentric family – a kind of Bonnie & Clyde with kids – trek through the Brazilian interior. Their first aim is to deliver a consignment of weapons to a group of militant nuns who have withdrawn to the jungle, living off the income from their cannabis plantation.  As gay , bi, trans, the converts so organized to make revolution. comedy -- --"
2006,Zuzu Angel,3.5,108,0.09,230,"Zuzu Angel Sérgio Rezende Covering the last years of the famous Brazilian fashion designer in her doomed quest for justice, Zuzu Angel follows the case of her activist son Stuart’s arrest, torture, murder, and subsequent corpse disposal by the military forces in early 1970s Rio de Janeiro, during the darkest era of Brazilian military regime and media censorship. history drama --"
2019,‘Hebe: A Estrela do Brasil’,3.3,112,0.13,231,"Hebe Maurício Farias Hebe Camargo is one of the most emblematic entertainments in Brazil. At her 60s, she went on to control her own career and, despite the criticism, the dreadful husband and the powerful and sexist bosses, she revealed herself to the public as an extraordinary woman, capable of overcoming any personal or professional crisis. drama history --"
2021,‘Bob Cuspe: Nós Não Gostamos de Gente’,3.7,90,0.34,232,"Bob Spit - We Do Not Like People Cesar Cabral Bob Spit, a comic book character, lives in a post-apocalyptic desert inside the mind of his creator, the legendary Brazilian cartoonist Angeli. When Angeli decides to kill off Bob, the old punk leaves this wasteland and faces his creator. animation documentary --"
2018,‘A Sombra do Pai’,3.3,92,0.18,233,"The Father’s Shadow Gabriela Amaral Almeida When a child is forced to become the house’s adult because her father is sick and her mother is dead, there’s an inversion in the natural order of things. Childhood becomes a saga. And the frustrated parenthood turns into a conviction. horror drama --"
2019,‘Primos’,2.0,83,0.1,234,"Cousins Thiago Cazado Lucas is a young man who lives with his religious aunt Lourdes in a quiet country town. He helps his aunt by holding religious meetings with the ladies of the area, in the living room, playing biblical songs on the keyboard. This quiet life will end as soon as the charitable aunt communicates the arrival of another nephew, Mario, just out of jail. The clash of reality between the cousins ends up causing unusual situations, and an unexpected attraction among the boys. romance comedy drama"
2008,Romance,3.8,104,0.21,235,"Romance Guel Arraes During a remake of the play Tristan and Isolde, actors Peter and Ana fall in love. While the characters live an idealized love, the interpreters are living a true story, which they try to spice it up with the intensity of the fiction. romance -- --"
2013,‘Meu Pé de Laranja Lima’,3.8,99,0.21,236,"My Sweet Orange Tree Marcos Bernstein Zezé is an 8 year old boy who, although a naughty boy, has a good heart. He leads a very modest life, due to the fact that his father has been unemployed for a long time, and has the habit of having long conversations with a sweet orange tree which is in his backyard. Until one day he meets Portuga, a man who begins to help him and soon becomes his best friend. drama -- --"
2005,‘Casa de Areia’,3.7,115,0.15,237,"The House of Sand Andrucha Waddington A woman is taken along with her mother in 1910 to a far-away desert by her husband, and after his passing, is forced to spend the next 59 years of her life hopelessly trying to escape it. drama -- --"
2018,Tudo por um Pop Star,2.3,105,0.05,238,"Tudo por um Pop Star Bruno Garotti The pop band Slavabody Disco Disco Boys, a fever among girls from all over Brazil, announces that it will play in Rio de Janeiro. Gabi, Manu and Ritinha will do everything they can to watch the show far from the city where they live. romance comedy --"
2015,Vai Que Cola: O Filme,2.6,105,0.06,239,"Vai Que Cola: O Filme César Rodrigues Valdomiro gets involved in yet another scheme, this time involving the same people that tricked him into losing everything - and he brings everyone from Ms. Jô’s hostel along. comedy -- --"
2019,O Barato de Iacanga,3.8,93,0.26,240,O Barato de Iacanga Thiago Mattar Participants recall a series of festivals held on a farm in Brazil during the ’70s and ’80s that evolved into liberating celebrations of music. music documentary --
2019,Greta,3.4,97,0.18,241,"Greta Armando Praça Pedro, a 70-year-old gay nurse, is taking care of Daniela, his ailing transgender friend. In order to find her a vacant hospital bed, he decides to help an arrested and wounded criminal to escape. drama -- --"
1978,As Filhas do Fogo,3.6,98,0.3,242,"As Filhas do Fogo Walter Hugo Khouri Woman living in São Paulo goes to Gramado, South of Brazil, to visit a friend of hers. Together, they meet an odd woman who engages in strange experiences in parapsychology. From then on, bizarre events are bound to happen. mystery horror --"
2020,‘República’,4.0,15,0.26,243,"Republic Grace Passô One night, a Brazilian woman wakes up in a country exhausted from violent acts. Republic is a short film realized at home, in the beginning of 2020s quarantine, in the center of São Paulo, República neighborhood. mystery drama --"
2014,‘Ventos de Agosto’,3.2,77,0.13,244,"August Winds Gabriel Mascaro Shirley has left the big city to live in a small seaside town and look after her elderly grandmother. She drives a tractor on a local coconut plantation, loves rock music and wants to be a tattoo artist. She feels trapped in the tiny coastal village. She is involved with Jeison, who also works on the coconut farm and who free dives for lobster and octopus in his spare time. drama -- --"
2014,‘Getúlio’,3.0,100,0.07,245,"Getulio João Jardim The movie depicts the political crisis that led to the suicide of president Getúlio Vargas, in the 19 days that preceded August 24, 1954. The crisis began with the attempted assassination of journalist and politician Carlos Lacerda in August 5, 1954, at rua Toneleros, Rio de Janeiro, in which Major Vaz was assassinated instead. Investigations pointed to Gregório Fortunato, chief of Vargas’ personal guard, as the orderer of the frustrated assassination. This incident was one of the most importants in the history of Brazil. × history drama --"
1967,‘O Caso dos Irmãos Naves’,4.0,92,0.24,246,"The Case of the Naves Brothers Luiz Sérgio Person After their relative and associate runs way, the Naves brothers inform the police of the incident, who end up arresting them under the accusation of murdering the missing person. The brothers are tortured in order to confess a crime they did not commit while their wives are raped. history drama --"
2018,Os Farofeiros,2.5,103,0.09,247,Os Farofeiros Roberto Santucci Things go from bad to worse when four co-workers decide to enjoy the extended holiday at a beach house with their families. comedy -- --
1990,‘Xuxa: Lua de Cristal’,2.6,90,0.05,248,"Crystal Moon Tizuka Yamasaki Maria da Graça is a country girl who dreams of becoming a singer. She leaves her town to live with some relatives in Rio de Janeiro, but it doesn’t take her long to find out that aunt Zuleika and cousins, Cidinha and Mauricinho, are less than friendly. While trying to deal with her relatives and their abuse, Maria da Graça befriends a neighbour, Duda, who shows her the ropes of getting along in the dangerous city, and Bob, a goofy diner clerk who, it turns out, might be the missing piece in her quest to fulfill her dreams. × comedy fantasy romance"
2001,Janela da Alma,3.9,73,0.17,249,"Janela da Alma Walter Carvalho Nineteen people with differing degrees of visual impairment – from mild nearsightedness to total blindness – discuss how they see themselves, how they see others and how they perceive the world. Unusual images, of burning trees or empty deserts, link the interviews, which vary from deep to funny to poetic. documentary -- --"
2009,‘Xuxa em: O Mistério de Feiurinha’,2.8,79,0.07,250,"Xuxa and the Mystery of the Little Ugly Princess Tizuka Yamasaki Based on the book O Fantástico Mistério de Feiurinha, the story combines real world and fantasy, dream and determination, with a surprising end, even for a fairy tale. The movie shows the fight of the fairy tale characters, now adults, who come together to recover the fable of the Little Ugly Princess, a beautiful Princess with a strange name, which only makes sense for those who know her story. The problem is that children and adults have forgotten the story of the Little Ugly Princess, which is as wonderful as other major fables for children. Cinderella brings together other fairy tale characters to meet the writer who keeps, lost in a small notebook, the Little Ugly Princess story. × family -- --"
2017,‘Histórias Que Nosso Cinema (Não) Contava’,3.6,80,0.2,251,"Stories Our Cinema Did (Not) Tell Fernanda Pessoa Filled with raunchy laughs, this documentary compiles outrageous scenes from sex-comedies that shaped Brazil’s “pornochanchada” boom of the 1970s. documentary -- --"
2016,‘Divinas Divas’,3.9,110,0.22,252,"Divine Divas Leandra Leal Eight iconic performers of the first generation of Brazilian transvestite artists go on stage to celebrate their 50th career jubilee. The film depicts the human, personal dimension behind these icons, deconstructing gender stereotypes. documentary -- --"
2015,‘Até Que a Sorte nos Separe 3: A Falência Final’,2.3,106,0.05,253,"Till Luck Do Us: Part 3 Roberto Santucci After waking from a coma, Tino learns his future in-laws have given him a high-powered financial job, for which he is woefully unqualified. comedy -- --"
2018,‘Ferrugem’,2.8,100,0.07,254,"Rust Aly Muritiba Tati and Renet were already trading pics, videos and music by their cellphones and on the last school trip they started making eye contact. However, what could be the beginning of a love story becomes the end. drama -- --"
2019,‘Depois a Louca Sou Eu’,3.2,86,0.15,255,"And They Say I Am the Crazy One Julia Rezende Young, intense and authentic, Dani just wants a normal life. However, since she was a child, she has been misaligned with her world. comedy drama --"
1974,‘O Amuleto de Ogum’,4.0,112,0.35,256,"The Amulet of Ogum Nelson Pereira dos Santos This story is narrated by an ubiquitous folk singer and tells of a young boy whose mother arranges for him to have an amulet bearing Ogum’s blessings which would make him immune to gunfire. The amulet apparently works, for the boy becomes a member of a mobster’s hit-team and then joins with a group of people who resist his original employers. drama crime --"
1962,‘Os Cafajestes’,3.5,100,0.16,257,"The Unscrupulous Ones Ruy Guerra Upon learning that his rich dad is on the brink of bankruptcy, spoiled Vavá summons his friend Jandir with a plan to get some quick cash: they will blackmail an uncle of Vavá by taking compromising photos of his lover, Leda. drama -- --"
2010,Fantasmas,3.9,11,0.28,258,Fantasmas André Novais Oliveira A man waits on the top of his house’s roof with his friend. They are talking to each other until this friend realises something quite strange. comedy -- --
2009,‘Voando Em Busca de Aventuras!’,0.9,45,0.05,259,"What’s Up: Balloon to the Rescue! Everton Rodrigues Dr. Crumb, a scientist who never liked to leave home, invented a way to see the world without leaving your lab. Using a stone extraterrestrial Crumb, his assistant and his two nephews Zoox: the beautiful Amanda and irreverent Guto, will make his house float through the world in search of adventures. The problem is that this stone has other special powers, can hypnotize people and open portals to other dimensions. To fall into the hands of a greedy French archaeologist, the stone eventually releasing four monsters creatures and muddled fleeing to different corners of the world. Now these monsters need to be captured before they destroy the main monuments of the world and the stone must be recovered before the archaeologist hypnotize them all. × adventure animation comedy"
2004,Estamira,4.1,121,0.21,260,"Estamira Marcos Prado Estamira is a 63-year-old woman who suffers from schizophrenia. She leads a tough life and has supported herself for the past 20 years by picking through garbage at the Jardim Gramacho Disposal Area in Rio de Janeiro. The film follows her starting in 2000, the year she begins treatment in a psychiatric clinic. At first, it is hard to understand her in her stream-of-consciousness sentences, delusions and obsessions. Gradually, however, we get to know her as a woman who can have quiet and lucid moments despite her illness. × documentary -- --"
1974,‘O Exorcismo Negro’,3.6,84,0.27,261,"The Bloody Exorcism of Coffin Joe José Mojica Marins Filmmaker José Mojica Marins travels to spend Christmas with friends in a small farm, where they spend leisure time while Mojica writes the story for his next film. However, he observes eerie things in the house, with his friends being possessed one by one by some supernatural evil force. horror -- --"
1982,Rio Babilônia,3.7,115,0.27,262,"Rio Babilônia Neville d’Almeida A public relations man is invited to guide an American millionaire during his stay in Rio de Janeiro. He gets involved in the most bizarre situations, from orgiastic mega-parties to confrontations with the police, meetings with drug dealers and movie stars, facing corruption and even murder. crime drama --"
2021,Carnaval,1.9,94,0.06,263,"Carnaval Leandro Neri After a breakup, an influencer takes her friends on a free trip to Bahia’s vibrant Carnival, where she learns life’s not just about social media likes. comedy -- --"
2021,Me Sinto Bem com Você,3.0,102,0.17,264,"Me Sinto Bem com Você Matheus Souza Five stories of love in times of quarantine. Five differently shaped love stories, from five different origins. Five stories about the importance of being with someone who makes you feel good in the midst of chaos. People, during these times of social isolation, doing everything possible to stay close. A film about connection: virtual and real. comedy drama romance"
1978,‘A Dama do Lotação’,3.3,96,0.16,265,"Lady on the Bus Neville d’Almeida Solange is a recently married young woman whose wedding night did not end well. After constant fights with her husband, she decides to live through her sexual frustration by sleeping with strangers she picks up on crowded buses in Rio de Janeiro. drama -- --"
2003,‘Deus é Brasileiro’,2.8,110,0.06,266,"God is Brazilian Carlos Diegues God decides to take a vacation, but first He has to find a saint who can rule the universe while He’s away. So He goes to the Northeast of Brazil, where He believes there’s a very good man for the job. As soon as He comes down to Earth, a young man comes along to help on His quest. comedy fantasy adventure"
2016,‘Espaço Além - Marina Abramović e o Brasil’,3.8,86,0.22,267,"The Space in Between: Marina Abramović and Brazil Marco del Fiol Marina Abramović travels through Brazil, in search of personal healing and artistic inspiration, experiencing sacred rituals and revealing her creative process. The route is comprised of poignant encounters with healers and sages from the Brazilian countryside, exploring the limits between art and spirituality. This external trip triggers in Marina a profound introspective journey through memories, pain and past experiences. documentary -- --"
2009,‘É Proibido Fumar’,3.3,85,0.12,268,"Smoke Gets in Your Eyes Anna Muylaert In São Paulo, Brazil, the lonely 40-something guitar teacher Baby lives a tedious life in a low middle-class apartment. She is addicted to her only companions: cigarettes. Baby has a constant conflict with her two sisters, over a couch she inherited from their deceased aunt. When Max, a restaurant musician, moves to the next door apartment, Baby has a crush on him and sees a chance to have a life again. Soon they start having a love affair, and Baby decides to quit smoking. However, her abstinence will be tough to deal with, when she notices Max still misses his ex-wife. × comedy romance drama"
2001,‘Caramuru: A Invenção do Brasil’,3.0,85,0.06,269,"Caramuru: The Invention of Brazil Guel Arraes Diogo Álvares, a Portuguese map illustrator, reaches the Brazilian coast, after his caravel sinks. He is saved by the Indian chief Itaparica and his two daughters, Paraguaçu and Moema. They call him Caramuru and together they engage in a happy love triangle. But the chance to return to Portugal arises, and it is clear this amoral arrangement cannot last. comedy history romance"
1990,‘ABC da Greve’,4.0,86,0.23,270,"ABC of a Strike Leon Hirszman ABC of a Strike captures the 1979 metal workers strikes outside of São Paulo. The footage sat untouched until after the death of highly-regarded director Leon Hirszman in 1987, by which time the material had a new relevance. The gripping film captures the negotiations between the labor unions and the factory bosses and shows the birth of the region’s Worker’s Party, as well as the emergence of its charismatic leader, Luiz Inácio Lula da Silva. Rising from extreme poverty, Lula gained national prominence as a union activist during the late 70s and early 80s. After being jailed during his time as a union leader, he eventually becomes Brazil’s president from 2003 to 2010. × documentary -- --"
2008,Crítico,3.6,75,0.16,271,"Crítico Kleber Mendonça Filho Seventy critics and filmmakers discuss cinema around the conflict between the artist and the observer, the creator and the critic. Between 1998 and 2007, Kléber Mendonça Filho recorded testimonies about this relationship in Brazil, the United States and Europe, based on his experience as a critic. documentary -- --"
2005,Eletrodoméstica,3.6,23,0.15,272,"Eletrodoméstica Kleber Mendonça Filho A middle-class family living in a house filled with superfluous electronic appliances see the arrival of a new item, a 29” TV-set. comedy -- --"
2020,ViihTube: Amiga do Inimigo,1.6,70,0.06,273,"ViihTube: Amiga do Inimigo Plinio Scambora A story full of mysteries and emotions. In this continuation of the webseries, Viih Tube and his gang need to find out who is the Anonymous Recanto, which is spreading the secrets of the school through social networks. comedy mystery drama"
2015,Cássia,4.2,120,0.25,274,"Cássia Paulo Henrique Fontenelle Cássia Eller Rejane. Cássia Eller. Cássia. A powerful restless force on stage, shined herself out of it. One of the greats of Brazilian music, Cássia Eller marked the 1990s and shocked the country with her early death in 2001. A film about the singer, the mother, the woman who exposed her personal life and broke barriers, leaving a beautiful social and artistic legacy. music documentary --"
2017,Baronesa,3.6,71,0.18,275,Baronesa Juliana Antunes The everyday life of a Belo Horizonte lower class neighborhood. drama documentary --
2012,E Aí… Comeu?,1.9,100,0.04,276,E Aí… Comeu? Felipe Joffily The real first comedy about love. comedy -- --
2017,‘Entre Irmãs’,3.9,166,0.19,277,"The Seamstress Breno Silveira In the thirties, two sisters separated by fate face prejudice and sexism, one by the high society in a big city and the other by a group of renegades in the countryside. Despite the distance, they know that they can only count on each other and both of them will assert themselves in their own and surprising way. drama -- --"
2012,‘Gonzaga: De Pai pra Filho’,3.5,120,0.11,278,"Gonzaga: From Father to Son Breno Silveira Luiz Gonzaga decides to change his destiny and leaves his childhood home for the big city to overcome a romance. When he arrives, he meets a woman he falls in love with, the Odaleia (Nanda Costa). After the birth of his son and his wife’s health complications, he decides to return to the road to ensure a better future for his son. He has a friend in Rio de Janeiro and with him leaves the little one and heads to Brazil.  He didn’t imagine that this distance between them would develop into a complicated relationship, enhanced by the strong personalities of both. Based on conversations between father and son, this is the story of Luiz Gonzaga, a singer and accordion player known as Rei do Baião or Gonzagão. × history drama music"
2006,‘Batismo de Sangue’,3.7,110,0.12,279,"Baptism of Blood Helvécio Ratton In São Paulo, in the late 1960s, the convent of the Dominican friars became a trench of resistance to the military dictatorship that governs Brazil. Moved by Christian ideals, frets Betto, Oswaldo, Fernando, Ivo and Tito came to support the guerrilla group Ação Libertadora Nacional, commanded by Carlos Marighella. drama thriller history"
2016,O Perfume da Memória,3.8,73,0.29,280,"O Perfume da Memória Oswaldo Montenegro The Scent of Memory, is the story of love between two women who think life in completely different ways. One knows a secret that can zoom out or both. A magical affinity, threatened by circumstances. romance -- --"
2017,‘Era Uma Vez Brasília’,2.9,98,0.12,281,"Once There Was Brasília Adirley Queirós Disguised as dystopian science fiction, which crosses references of George Miller and JG Ballard, the film proposes a reflection on the current Brazilian political and social situation, concretely from the process of impeachment of President Dilma Rousseff, rehearsing an alternative future for Brazil. As the political capital of the country, and especially as one of the most symbolic utopias of the Brazilian twentieth century, the city of Brasília shares the protagonism with a couple of renegades who survive by wandering marginally waiting for personal and collective redemption. × drama science-fiction documentary"
2016,‘Fala comigo’,2.5,92,0.06,282,"The Other End Felipe Sholl Diogo (17) has a little quirk: he likes to call his mother’s female therapy patients and masturbate while listening to them on the phone. One of these patients is Angela (43), a woman who was just left by her husband When Diogo calls Angela, she thinks it’s her husband calling. She starts having a relationship with the silence on the other end of the line. But when she finds out it’s Diogo, she’s disgusted. She’s furious. But, most of all, she’s attracted to this person who showed so much interest in her. The only person who called her every day.  Diogo helps Angela see that she can have a new beginning and she shows him his way to independence. But they have to face a number of obstacles: There’s the age difference, Diogo’s mother, and, especially, his own path to adulthood. × drama -- --"
1986,‘O Dia em Que Dorival Encarou a Guarda’,4.1,14,0.27,283,"The Day Dorival Faced the Guards Jorge Furtado Dorival, a man in jail, has only one wish: to take a bath. To achieve his objective, he defies the private, the corporal, the sargeant and, finally, the lieutenant in charge of the prison. comedy -- --"
1984,‘Memórias do Cárcere’,3.9,190,0.23,284,Memories of Prison Nelson Pereira dos Santos Adaptation of Graciliano Ramos’s novel about his arrest and imprisonment. drama history --
2009,‘À Deriva’,3.3,97,0.12,285,Adrift Heitor Dhalia A 1980s-set drama about a teenage girl undergoing her sexual awakening when she learns about her father’s infidelities. drama -- --
2017,‘Mal Nosso’,2.9,92,0.13,286,"Our Evil Samuel Galli A man with spiritualist powers is told by his mentor that a demonic entity is returning to destroy his daughter’s soul, and that he should take drastic measures to prevent this from happening. drama horror thriller"
2019,‘Piedade’,3.0,98,0.1,287,"Mercy Cláudio Assis The quiet life of the small town Piedade’s inhabitants is shaken up by the arrival of a big oil company, which barges in taking over houses and local businesses, throwing everyone out, to better reach and use the area’s natural resources. drama -- --"
2016,‘A Vizinhança do Tigre’,3.8,91,0.24,288,"The Hidden Tiger Affonso Uchôa Juninho, Menor, Neguinho, Adilson and Eldo are young residents of the Bairro Nacional, outskirts of Contagem, in Minas Gerais, Brazil. Divided between work and fun, crime and hope, each will have to find ways of overcoming difficulties and  taming the tiger inside their veins. documentary drama --"
2006,Tarantino’s Mind,3.7,15,0.14,289,Tarantino’s Mind 300ml Two friends at a bar talking about theories involving Quentin Tarantino’s movies. comedy tv-movie --
2014,‘Os Homens São de Marte... E é pra Lá Que Eu Vou!’,2.8,108,0.07,290,"Men Are from Mars… And That’s Where I’m Going! Marcus Baldini Successful at work, Fernanda is an example of women of the third millennium, free to make their choices and independent. Yet in her personal life she finds herself struggling to find a husband. Like other women of her generation, Fernanda put her personal life on hold to devote herself to her career and now suddenly feels her love life situation has become an emergency.  Being single at 39 is quite different from being single at 29, after all “the fertile egg has an expiration date”! × comedy -- --"
2009,‘Um Lugar ao Sol’,3.7,71,0.19,291,"High-Rise Gabriel Mascaro Through dialogues with the owners of penthouses in Rio de Janeiro, São Paulo and Recife, High-Rise explores the social and cultural mindset of the elite, and the phenomenon of the ‘verticalisation’ of the Brazilian cityscape. This is a film about height, status and power. documentary -- --"
1981,‘O Beijo no Asfalto’,3.9,80,0.25,292,"The Asphalt Kiss Bruno Barreto When a pedestrian is hit by a bus, the simple clerk Arandir runs and kisses the moribund in a gesture of sympathy and unconditional pure love. Opportunist photographer Amado Pinheiro witnesses the scene and sees the opportunity to sell newspaper and, together with the despicable and abusive chief of police Cunha, accuses Arandir of homosexuality. crime drama --"
2021,Gracinha,4.1,41,0.35,293,Gracinha Manu Gavassi Gracinha is a ballerina who can’t conceive art without soul. music -- --
